date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:46:56	76/76	---MCZ	200	added ('OK')	text/plain	date:Wed,%2003%20Oct%202018%2020:46:54%20GMT	https://constructionbim.faro.com/robots.txt		(from )
22:46:56	132967/132967	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Oct%202018%2020:46:54%20GMT	https://constructionbim.faro.com/	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/index.html	(from )
22:46:57	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2003%20Oct%202018%2020:46:54%20GMT	https://constructionbim.faro.com/xmlrpc.php	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/xmlrpc.php	(from https://constructionbim.faro.com/)
22:46:57	24607/24607	---M-Z	200	added ('OK')	text/css	etag:%22601f-5404ecf359613-gzip%22	https://constructionbim.faro.com/wp-content/plugins/image-caption-hover-visual-composer-addon/css/style.css?ver=4.7.11	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/wp-content/plugins/image-caption-hover-visual-composer-addon/css/style4f4a.css	(from https://constructionbim.faro.com/)
22:46:58	47207/47207	---M-Z	200	added ('OK')	text/css	etag:%22b867-540c5cd607cd3-gzip%22	https://constructionbim.faro.com/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.3.0.2	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/wp-content/plugins/revslider/public/assets/css/settingsa88c.css	(from https://constructionbim.faro.com/)
22:46:58	132967/132967	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Oct%202018%2020:46:56%20GMT	https://constructionbim.faro.com/en/	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/en/index.html	(from https://constructionbim.faro.com/)
22:47:00	329/329	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2003%20Oct%202018%2020:46:57%20GMT	http://constructionbim.faro.com/wp-content/uploads/sites/4/pum/pum-site-styles-4.css?generated=1537175706&ver=1.7.29	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/wp-content/uploads/sites/4/pum/pum-site-styles-4.40b9e.delayed	(from https://constructionbim.faro.com/)
22:47:00	456194/456194	---M-Z	200	added ('OK')	text/css	etag:%226f602-540c5d7977ec9-gzip%22	https://constructionbim.faro.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.12.1	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/wp-content/plugins/js_composer/assets/css/js_composer.min9d08.css	(from https://constructionbim.faro.com/)
22:47:00	846/846	---MCZ	200	added ('OK')	application/rss+xml	etag:%2298c81fcf77b9efe1082eb298abc5308f%22	https://constructionbim.faro.com/en/feed/	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/en/feed/index.html	(from https://constructionbim.faro.com/)
22:47:00	737/737	---MCZ	200	added ('OK')	application/rss+xml	etag:%22d889298c3f312553f38740a58a02ce78%22	https://constructionbim.faro.com/en/comments/feed/	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/en/comments/feed/index.html	(from https://constructionbim.faro.com/)
22:47:01	16275/16275	---M-Z	200	added ('OK')	text/css	etag:%223f93-5760d9bf81cf5-gzip%22	https://constructionbim.faro.com/wp-content/uploads/sites/4/pum/pum-site-styles-4.css?generated=1537175706&ver=1.7.29	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/wp-content/uploads/sites/4/pum/pum-site-styles-40b9e.css	(from https://constructionbim.faro.com/)
22:47:02	371550/371550	---M-Z	200	added ('OK')	text/css	etag:%225ab5e-540c569ae7975-gzip%22	https://constructionbim.faro.com/wp-content/themes/dt-the7/css/main.min.css?ver=4.1.2	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/wp-content/themes/dt-the7/css/main.min8aee.css	(from https://constructionbim.faro.com/)
22:47:03	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%227918-540c56c7a48b3-gzip%22	https://constructionbim.faro.com/wp-content/themes/dt-the7/fonts/FontAwesome/css/font-awesome.min.css?ver=4.1.2	C:/Dev/WebsiteCopy/FaroBIMCIM/constructionbim.faro.com/wp-content/themes/dt-the7/fonts/FontAwesome/css/font-awesome.min8aee.css	(from https://constructionbim.faro.com/)
